detection_time,magnitude,Houang&Beroza_(TM),Yoon_(FAST),Horton_(STA/LTA),Ogwary_(STA/LTA),Mousavi_(CRED)
2010-08-02T07:50:41.360000Z,-0.47026,1,1,0,0,0
2010-08-02T07:51:40.450000Z,0.10631,1,1,0,0,0
2010-08-02T07:55:50.610000Z,-0.59803,1,0,0,0,0
2010-08-02T07:58:15.220000Z,0.03043,1,1,0,0,0
2010-08-02T08:03:54.080000Z,-0.20985,1,1,0,0,0
2010-08-02T08:07:32.500000Z,-0.8485,1,0,0,0,0
2010-08-02T08:08:11.200000Z,-0.11539,1,1,0,0,1
2010-08-02T08:11:02.910000Z,-0.5078,1,1,0,0,0
2010-08-02T08:15:19.430000Z,-0.30024,1,1,0,0,0
2010-08-02T08:23:18.440000Z,-0.04787,1,1,0,0,0
2010-08-02T08:25:44.920000Z,-0.46457,1,1,0,0,0
2010-08-02T08:29:15.740000Z,-0.18775,1,1,0,0,0
2010-08-02T08:30:04.550000Z,-0.44107,1,1,0,0,0
2010-08-02T08:32:48.830000Z,-0.2095,1,1,0,0,0
2010-08-02T08:33:26.590000Z,-0.70966,1,1,0,0,0
2010-08-02T08:34:21.870000Z,-0.58582,1,1,0,0,0
2010-08-02T08:34:31.460000Z,-0.373,1,1,0,0,0
2010-08-02T08:35:22.490000Z,-1.05152,1,1,0,0,0
2010-08-02T08:37:54.670000Z,-0.26367,1,1,0,0,0
2010-08-02T08:43:07.970000Z,-0.43423,1,0,0,0,1
2010-08-02T08:45:03.190000Z,0.10038,1,1,0,0,0
2010-08-02T08:45:50.650000Z,0.0279,1,1,0,0,0
2010-08-02T08:46:00.750000Z,-0.29668,1,1,0,0,0
2010-08-02T08:46:13.630000Z,-0.47402,1,1,0,0,0
2010-08-02T08:47:25.450000Z,0.205,1,1,0,0,0
2010-08-02T08:48:11.920000Z,0.29212,1,1,0,0,0
2010-08-02T08:48:19.500000Z,-0.03533,1,1,0,0,0
2010-08-02T08:48:32.760000Z,-0.17747,1,1,0,0,0
2010-08-02T08:51:01.870000Z,0.2177,1,1,0,0,1
2010-08-02T08:52:01.800000Z,-0.45903,1,1,0,0,0
2010-08-02T08:52:15.920000Z,-1.02597,1,1,0,0,0
2010-08-02T08:53:07.730000Z,0.5196,1,1,0,0,1
2010-08-02T08:54:29.820000Z,-0.26135,1,1,0,0,0
2010-08-02T08:54:50.210000Z,-0.14028,1,1,0,0,0
2010-08-02T08:56:23.880000Z,-0.31491,1,1,0,0,0
2010-08-02T08:59:15.450000Z,-0.71385,1,1,0,0,0
2010-08-02T09:03:37.480000Z,-0.46905,1,1,0,0,0
2010-08-02T09:04:24.580000Z,-0.44902,1,1,0,0,0
2010-08-02T09:07:23.570000Z,-1.01564,1,0,0,0,0
2010-08-02T09:07:27.470000Z,-0.27754,1,0,0,0,0
2010-08-02T09:09:31.000000Z,-0.276,1,1,0,0,0
2010-08-02T09:10:29.820000Z,0.24841,1,1,0,0,0
2010-08-02T09:11:23.890000Z,-0.93152,1,0,0,0,0
2010-08-02T09:12:57.090000Z,-1.00527,1,1,0,0,0
2010-08-02T09:17:29.430000Z,0.0137,1,1,0,0,0
2010-08-02T09:18:03.190000Z,-0.49253,1,1,0,0,0
2010-08-02T09:18:40.670000Z,-0.12892,1,1,0,0,0
2010-08-02T09:18:43.560000Z,-0.6726,1,0,0,0,0
2010-08-02T09:21:05.380000Z,-0.54101,1,1,0,0,0
2010-08-02T09:22:40.150000Z,-0.1927,1,1,0,0,1
2010-08-02T09:22:58.160000Z,-0.22709,1,1,0,0,0
2010-08-02T09:23:26.140000Z,-0.35114,1,1,0,0,0
2010-08-02T09:24:19.270000Z,-1.30434,1,1,0,0,0
2010-08-02T09:25:02.790000Z,0.16919,1,1,0,0,0
